#ID,Turn,Target,Dialog,Left,Right,Text,Voice
1,1,마법 지팡이,안녕 은하야! 만나서 반가워!,8,1,2,9
1,2,은하,지팡이가…말을?!,8,6,0,6
1,3,마법 지팡이,담소를 나누고 싶지만 아쉽게도 시간이 없어서 짧게 설명할게!,8,6,2,10
1,4,마법 지팡이,일단 근처와 나를 보면 알겠지만 여긴 너의 꿈속이야!,8,6,2,0
1,5,None,[대충 근처를 둘러보며 놀라는 은하],8,6,,
2,1,은하,섬이….떠다니고 있어?,8,6,0,6
2,2,마법 지팡이,맞아~ 그리고 지금 리리스란 악마가 와서 너의 꿈을 망치고,8,3,2,11
2,3,마법 지팡이,조각내서 꿈의 주인인 너를 잡아 꿈을 차지하려고 하고있어!,8,3,2,0
2,4,은하,꿈? 꿈이라면 그냥 주는 것도…,8,3,0,0
2,5,마법 지팡이,안되 은하야! ,8,3,2,10
2,6,은하,어째서?....,8,6,0,0
2,7,마법 지팡이,꿈을 빼앗기면 리리스가 꿈을 조종할 수 있게되! 그러면 리리스는,8,1,2,11
2,8,마법 지팡이,너를 영원히 꿈속에서 재우고 현실의 몸을 차지할 거야!,8,1,2,0
2,9,은하,!!!![놀람],8,6,0,6
2,10,마법 지팡이,"하지만 괜찮아! 여긴 ""너의 꿈""이야!",8,3,2,8
2,11,마법 지팡이,리리스가 뺏어가고 퍼트린 영향력을 되찾는다면! 충분히 이길수 있어!,8,3,2,0
2,12,은하,내가?....할수 있을까? 상대는 악마잖아?,8,0,0,3
2,13,마법 지팡이,괜찮아! 내가 있잖아! 그리고 너두!,8,0,2,8
2,14,마법 지팡이,너에겐 이루고 싶은 꿈이 있잖아! 여기서 멈출거야?.....,8,0,2,7
2,15,은하,….,8,1,0,0
2,16,은하,아니!,8,2,0,0
2,17,마법 지팡이,그래! 여기에 있는동안 에도 리리스 는 영향력을 차지하고 있어!,8,1,2,11
2,18,마법 지팡이,어서 움직이자!,8,1,2,0
2,19,은하,응!,8,2,0,0
3,1,은하,자신 있게 말하긴 했는데…..어떻게…싸워?,8,3,0,0
3,2,마법 지팡이,"여긴 ""너의 꿈""이기 때문에 대항하기 위해 악과 싸우는 이미지로 힘이 구현화돼있을 거야!",8,1,2,8
3,3,마법 지팡이,자신이 생각하는 이미지를 생각하며 싸우면 좀더 좋을거야!,8,1,2,0
3,4,은하,어? 그리고 보니 내 모습을 본적이 없내 ,8,3,0,0
3,5,은하,내 모습이…윽![옷을보고 부끄러워함],8,6,0,6
3,6,마법 지팡이,어라? 잘 모르는 거야? 은하가 어릴때 본 마법소ㄴ…….,8,6,2,8
3,7,은하,으아아아아아아ㅏ앙! 알겠어! 거기까지만 해도돼! 어서가자!,8,6,0,6
3,8,마법 지팡이,그럼 간단한 하게 조작에 대해 설명해 줄게,8,3,2,9
3,9,마법 지팡이,화면에 표시된 키들을 눌러 이동과 대쉬를 사용해봐,8,3,2,0
4,1,마법 지팡이,잘했어 은하야!,8,3,2,9
4,2,마법 지팡이,이번엔 전투를 배워보자!,8,3,2,0
4,3,마법 지팡이,더미를 만들어 줄테니 마음껏 공격해봐!,8,3,2,0
5,1,마법 지팡이,잘했어 은하야!,8,3,2,10
5,2,은하,고마워 지팡아~,8,3,2,5
5,3,마법 지팡이,이제 싸우기에 충분한거 같아!,8,3,2,8
5,4,마법 지팡이,더 연습하고 싶다면 남아서 더 연습해도 괜찮아!,8,3,2,0
5,5,마법 지팡이,준비가 끝나면 포탈로 들어가 영향력을 찾으러 가자!,8,3,2,0
5,6,은하,응!,8,3,2,0
6,1,마법 지팡이,은하야! 이제 리리스와 싸우기에 충분한 힘이 모인것 같아!,8,1,2,8
6,2,마법 지팡이,하지만 아직 조금더 영향력을 모을 시간이 있을것 같으니 조금더 힘을 모아도 좋아!,8,3,2,0
6,3,은하,고마워 지팡아!,8,5,0,5
6,4,마법 지팡이,어떻게 할지 결정된다면 미션을 선택해줘!,8,3,2,9
6,5,은하,응!,8,5,0,0
7,1,마법 지팡이,은하야! 이제 더 이상 영향력을 못 모을것같아!,8,3,2,9
7,2,은하,이제 영향력을 다 찾은거야?,8,6,0,0
7,3,마법 지팡이,아쉽게도 아니야 은하야~… 리리스는 부하를 부리기 때문에 점점 우리가 밀리게 될거야~ㅠ,8,1,2,7
7,4,마법 지팡이,하지만 그렇게 되기전에 우리가 먼저 힘을 모아 공격한다면 충분히 승산이 있어!,8,1,2,0
7,5,은하,지금의 나로….이길수 있을까?,8,0,0,3
7,6,마법 지팡이,"""있을까""가 아니야! 이길수""있어""! ",8,3,2,11
7,7,은하,맞아 할수있어! 해야만해! 고마워 지팡아 이제 됬어 포탈을 열어줘!,8,2,0,0
7,8,마법 지팡이,좋았어! 그럼 리리스에게로 가는 포탈을 열게!,8,1,2,8
8,1,리리스,드디어 쓸데없는 저항은 그만두고 항복하러 오셨나요?,10,1,3,0
8,2,마법 지팡이,리리스! 은하야! 저기있는 녀석이 바로 리리스야!,9,7,1,10
8,3,은하,리리스 어째서 내 꿈에 들어온거야?!,9,2,0,2
8,4,리리스,음~~너무 당연한걸 질문 하시는 군요,10,1,3,0
8,5,리리스,"틈이 있길래 들어와서 ""식사""를 하고 있을 뿐이예요~",10,1,3,0
8,6,리리스,악의가 있어서 그런건 아니랍니다? 후후,10,1,3,0
8,7,은하,악의가 아니라고? 사람의 자아를 뺏어 몸을 조종하는게?,9,1,0,2
8,8,리리스,후후.. 식사를 하는데 이유가 필요하나요?,10,1,3,0
8,9,마법 지팡이,은하야~악마에게는 인간의 상식이 통하지않아….다른 방법이 없어보여,9,7,1,7
8,10,리리스,하암~[하픔] 음~[기지개] 슬슬 지루한데 마지막 여흥 거리를 즐겨 볼까요? 후후후,10,1,3,0
8,11,마법 지팡이,은하야! 준비해!,9,7,1,8
8,12,은하,응!,9,2,0,0
